Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nick Fotiu,L,L,51.00,5.00,4.00,9.00,-6.00,166.00,0.18,5.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,39.00,12.8,--,--
Mark Freer,L,C,2.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,--
Jeff Friesen,L,L,72.00,6.00,6.00,12.00,-2.00,34.00,0.17,5.00,9.00,0.00,1.00,1.00,2.00,0.00,0.00,55.00,10.9,12:11,38.1
Michael Frolik,L,R,319.00,63.00,82.00,145.00,9.00,158.00,0.45,51.00,123.00,3.00,9.00,9.00,13.00,2.00,11.00,700.00,9,15:25,41.1
Dave Gagner,L,C,82.00,27.00,33.00,60.00,2.00,48.00,0.73,18.00,36.00,9.00,21.00,0.00,3.00,1.00,4.00,228.00,11.8,--,--
TJ Galiardi,L,L,62.00,4.00,13.00,17.00,-13.00,21.00,0.27,3.00,15.00,0.00,0.00,1.00,2.00,0.00,0.00,100.00,4,14:37,40
Johnny Gaudreau,L,L,464.00,151.00,294.00,445.00,19.00,100.00,0.96,118.00,318.00,33.00,127.00,0.00,0.00,7.00,27.00,1248.00,12.1,19:05,32
Denis Gauthier,L,D,384.00,13.00,45.00,58.00,15.00,515.00,0.15,12.00,47.00,0.00,4.00,1.00,7.00,0.00,3.00,321.00,4.1,17:44,--
Aaron Gavey,L,C,67.00,9.00,12.00,21.00,-16.00,58.00,0.31,6.00,17.00,3.00,4.00,0.00,0.00,0.00,2.00,81.00,11.1,--,40.8
Martin Gelinas,L,L,157.00,38.00,49.00,87.00,7.00,121.00,0.55,27.00,66.00,11.00,21.00,0.00,0.00,1.00,6.00,291.00,13.1,15:37,50.4
Carsen Germyn,R,C,4.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0,6:43,50
Doug Gilmour,L,C,266.00,81.00,214.00,295.00,104.00,288.00,1.11,48.00,189.00,29.00,93.00,4.00,13.00,0.00,14.00,512.00,15.8,--,--
Mark Giordano,L,D,893.00,134.00,349.00,483.00,96.00,745.00,0.54,76.00,288.00,48.00,173.00,10.00,22.00,7.00,21.00,1887.00,7.1,22:39,--
Tanner Glass,L,L,16.00,0.00,0.00,0.00,-4.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0,9:23,33.3
Curtis Glencross,L,L,418.00,114.00,128.00,242.00,2.00,290.00,0.58,84.00,182.00,22.00,49.00,8.00,11.00,0.00,18.00,784.00,14.5,16:32,43.1
Brian Glynn,L,D,77.00,5.00,15.00,20.00,-2.00,106.00,0.26,1.00,9.00,4.00,10.00,0.00,1.00,0.00,1.00,88.00,5.7,--,--
Eric Godard,R,R,93.00,1.00,2.00,3.00,-8.00,221.00,0.03,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,17.00,5.9,4:31,0
Alexander Godynyuk,L,D,33.00,3.00,5.00,8.00,4.00,23.00,0.24,3.00,5.00,0.00,3.00,0.00,0.00,0.00,0.00,47.00,6.4,--,--
