Player,Hand,Pos,GamesPlayed,G,A,P,PlusMinus,PenaltyMins,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,Intials,GoalsPerGame,GoalsNorm,GWGNorm,PIMNorm,PluMinNorm,AvGPGNorm,Rating
Jamie Lundmark,R,C,99,16,23,39,-6,72,0.39,14,27,2,12,0,0,0,2,130,JL,0.161616162,0.028625954,0.024096386,0.02507313,0.160958904,0.277343886,0.120833716
Paul Baxter,R,D,209,16,39,55,35,568,0.26,14,53,1,1,1,1,0,2,224,PB,0.076555024,0.028625954,0.024096386,0.232344338,0.301369863,0.122588571,0.017477349
Stephane Matteau,L,L,82,16,19,35,19,112,0.43,15,30,0,0,1,5,0,1,121,SM,0.195121951,0.028625954,0.012048193,0.04178855,0.246575342,0.338302382,0.135849934
Brad McCrimmon,L,D,231,16,67,83,109,272,0.36,9,62,3,14,4,7,0,4,277,BMC,0.069264069,0.028625954,0.048192771,0.10865023,0.554794521,0.10932383,0.048958467
Andrei Nazarov,R,L,112,15,31,46,4,108,0.41,14,40,1,6,0,0,0,3,163,AN,0.133928571,0.026717557,0.036144578,0.040117008,0.195205479,0.226970685,0.103508917
Kris Russell,L,D,198,15,63,78,3,40,0.39,8,49,7,28,0,1,2,2,276,KR,0.075757576,0.026717557,0.024096386,0.011700794,0.191780822,0.12113774,0.060834886
Steve Begin,L,L,159,15,11,26,-15,214,0.16,13,24,1,1,1,1,0,3,163,SB,0.094339623,0.026717557,0.036144578,0.084412871,0.130136986,0.154944841,0.065839407
Corey Millen,R,C,92,15,25,40,-11,42,0.43,13,30,2,10,0,0,0,1,130,CM,0.163043478,0.026717557,0.012048193,0.012536565,0.143835616,0.279940663,0.118164804
Steve Chiasson,L,D,168,15,59,74,2,133,0.44,6,37,7,34,2,3,0,3,397,SC,0.089285714,0.026717557,0.036144578,0.050564145,0.188356164,0.145750053,0.068931237
Jim Jackson,R,L,107,15,30,45,10,20,0.42,12,38,1,2,2,5,0,2,161,JJ,0.140186916,0.026717557,0.024096386,0.003343084,0.215753425,0.238356755,0.109394034
Jeff Cowan,L,L,83,14,5,19,-9,130,0.23,12,16,2,3,0,0,0,2,87,JC,0.168674699,0.02480916,0.024096386,0.049310489,0.150684932,0.29018578,0.120741323
Rob Niedermayer,L,C,111,14,24,38,-28,91,0.34,9,27,3,9,2,2,1,2,191,RN,0.126126126,0.02480916,0.024096386,0.033012954,0.085616438,0.212775367,0.093036665
James Patrick,R,D,217,14,56,70,6,82,0.32,10,41,4,24,0,5,0,1,258,JP,0.064516129,0.02480916,0.012048193,0.029251985,0.202054795,0.100685702,0.042928896
Roman Hamrlik,L,D,126,14,50,64,30,144,0.51,11,28,2,34,1,2,0,1,214,RH,0.111111111,0.02480916,0.012048193,0.055160886,0.284246575,0.185457917,0.071656002
Markus Granlund,L,C,86,14,14,28,-3,24,0.33,11,23,1,2,2,3,0,1,111,MG,0.162790698,0.02480916,0.012048193,0.005014626,0.171232877,0.279480769,0.119294395
