Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jason Morgan,L,C,13,0,2,2,1,2,0.15,0,2,0,0,0,0,0,0,14,0,9:45,44.9
Derek Morris,R,D,343,34,129,163,-12,385,0.48,16,83,16,74,2,6,2,10,771,4.4,22:40,33.3
Brendan Morrison,L,C,94,13,41,54,12,22,0.57,9,38,3,14,1,2,0,1,122,10.7,15:49,49.8
Scott Morrow,L,L,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,--,--
David Moss,R,R,317,61,63,124,-7,94,0.39,42,97,19,26,0,1,0,10,666,9.2,13:13,42.7
Mike Mottau,L,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,9:50,--
Rick Mrozik,L,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10:02,--
Joe Mullen,R,R,345,190,198,388,106,95,1.12,133,250,53,133,4,5,0,33,978,19.4,--,--
Bob Murdoch,L,D,227,11,52,63,30,178,0.28,11,59,0,2,0,2,0,1,239,4.6,--,--
Marty Murray,L,C,26,3,3,6,-5,6,0.23,1,2,2,4,0,0,0,0,32,9.4,--,50.8
Dana Murzyn,L,D,201,16,39,55,50,406,0.27,14,49,1,4,1,2,1,2,271,5.9,--,--
Frantisek Musil,L,D,335,18,45,63,96,505,0.19,14,53,3,7,1,3,0,2,309,5.8,--,--
Jakub Nakladal,R,D,27,2,3,5,-5,6,0.19,2,4,0,1,0,0,0,0,42,4.8,14:11,--
Ric Nattress,R,D,226,9,53,62,39,204,0.27,9,58,0,1,0,3,1,1,245,3.7,--,--
Andrei Nazarov,R,L,112,15,31,46,4,108,0.41,14,40,1,6,0,0,0,3,163,9.2,12:38,100
James Neal,L,L,63,7,12,19,-5,28,0.3,5,13,2,6,0,0,0,1,141,5,14:57,45.5
John Negrin,L,D,3,0,1,1,-2,2,0.33,0,1,0,0,0,0,0,0,3,0,9:59,--
Greg Nemisz,R,R,15,0,1,1,0,0,0.07,0,1,0,0,0,0,0,0,7,0,6:40,39.2
Scott Nichol,R,C,128,13,14,27,-16,256,0.21,9,20,2,4,2,3,0,0,115,11.3,11:36,55.3
Barry Nieckar,L,L,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,--,--,--
Rob Niedermayer,L,C,111,14,24,38,-28,91,0.34,9,27,3,9,2,2,1,2,191,7.3,17:35,48.5
Ville Nieminen,L,L,19,3,5,8,6,18,0.42,3,7,0,1,0,0,0,1,27,11.1,14:36,0
Joe Nieuwendyk,L,C,577,314,302,616,135,330,1.07,173,369,130,234,11,13,3,43,"1,549",20.3,--,--
Marcus Nilson,R,L,194,19,23,42,25,77,0.22,16,37,3,5,0,0,0,5,222,8.6,13:12,43.5
Kent Nilsson,L,C,425,229,333,562,-34,90,1.32,134,312,79,227,16,23,1,25,"1,136",20.2,--,--
Owen Nolan,R,R,77,16,16,32,6,71,0.42,14,25,1,6,1,1,0,3,163,9.8,16:33,52.3
Lee Norwood,L,D,16,0,1,1,3,16,0.06,0,1,0,0,0,0,0,0,10,0,--,--
Michael Nylander,L,C,168,34,74,108,22,54,0.64,29,81,5,27,0,0,2,8,310,11,--,47.2
Eric Nystrom,L,L,204,19,20,39,-13,191,0.19,18,36,0,0,1,3,0,5,216,8.8,11:21,45.3
Shane O'Brien,L,D,45,0,3,3,-8,58,0.07,0,3,0,0,0,0,0,0,16,0,11:16,--
Chris O'Sullivan,L,D,49,2,11,13,3,14,0.27,1,5,1,8,0,0,0,1,63,3.2,--,50
Krzysztof Oliwa,L,L,65,3,2,5,-8,247,0.08,3,5,0,0,0,0,0,0,32,9.4,4:56,20
Darryl Olsen,L,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,--,--
Mark Osiecki,R,D,50,2,7,9,-4,24,0.18,1,6,1,1,0,2,0,2,44,4.6,--,--
Joel Otto,R,C,730,167,261,428,44,"1,642",0.59,101,285,57,124,9,19,1,23,"1,108",15.1,--,--
Greg Pankewicz,R,R,18,0,3,3,0,20,0.17,0,3,0,0,0,0,0,0,10,0,7:26,66.7
Adam Pardy,L,D,147,4,22,26,3,141,0.18,4,25,0,1,0,0,0,0,114,3.5,15:16,--
Greg Paslawski,R,R,28,6,5,11,-1,2,0.39,6,9,0,2,0,0,0,2,32,18.8,--,--
James Patrick,R,D,217,14,56,70,6,82,0.32,10,41,4,24,0,5,0,1,258,5.4,--,--
Colin Patterson,R,R,416,88,99,187,98,189,0.45,83,176,3,3,2,8,1,8,549,16,--,--
Matt Pelech,R,R,5,0,3,3,1,9,0.6,0,3,0,0,0,0,0,0,4,0,13:16,--
Anthony Peluso,R,R,4,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,1,0,4:07,--
